Wesp;Datum;Waarnemer;Beginuur;Duurtag;Voor/Na;Controle/Impact;WL1;WL2;WL3;averageWL;varWL;WW1;WW2;WW3;averageWW;varWW;ITS1;ITS2;ITS3;averageITS;varITS;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;10;10.5;11;11.5;12;somv;somk;somr;somw;somg;somb;somalles;percv;perck;percr;percw;percg;percb
Kuifje;19/jun;Ward;15:07;2;voor;impact;12.28;12.06;12.07;12.14;0.015433333;3.83;3.86;3.85;3.85;0.000233333;3.68;3.73;3.54;3.65;0.0097;v;v;r;r;r;r;k;v;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;k;r;3;3;19;0;0;0;25;0.12;0.12;0.76;0;0;0
Kuifje;19/jun;Ward;15:07;2;na;impact;12.28;12.06;12.07;12.14;0.015433333;3.83;3.86;3.85;3.85;0.000233333;3.68;3.73;3.54;3.65;0.0097;k;k;k;v;v;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;2;3;20;0;0;0;25;0.08;0.12;0.8;0;0;0
Jan;19/jun;Eliane;13:53;3;voor;controle;12.49;12.56;12.78;12.61;0.0229;3.73;3.77;3.77;3.76;0.000533333;3.86;3.77;3.91;3.85;0.005033333;k;r;r;r;r;r;r;r;r;r;r;k;k;k;k;r;k;k;v;v;k;k;k;r;r;2;10;13;0;0;0;25;0.08;0.4;0.52;0;0;0
Jan;19/jun;Eliane;13:53;3;na;controle;12.49;12.56;12.78;12.61;0.0229;3.73;3.77;3.77;3.76;0.000533333;3.86;3.77;3.91;3.85;0.005033333;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;v;w;1;1;22;1;0;0;25;0.04;0.04;0.88;0.04;0;0
Korneel;19/jun;Eliane;13:53;3;voor;impact;12.36;12.18;12.28;12.27;0.008133333;3.57;3.69;3.46;3.57;0.013233333;4.42;4.53;4.4;4.45;0.0049;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;1;24;0;0;0;25;0;0.04;0.96;0;0;0
Korneel;19/jun;Eliane;13:53;3;na;impact;12.36;12.18;12.28;12.27;0.008133333;3.57;3.69;3.46;3.57;0.013233333;4.42;4.53;4.4;4.45;0.0049;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;1;24;0;0;0;25;0;0.04;0.96;0;0;0
Bassie;19/jun;Eliane;15:35;5;voor;controle;12.73;12.54;12.7;12.66;0.010433333;3.78;3.78;3.72;3.76;0.0012;3.93;4.03;4.01;3.99;0.0028;v;r;r;r;r;w;k;k;k;v;k;v;k;k;k;k;k;k;v;k;k;k;g;v;k;5;14;4;1;1;0;25;0.2;0.56;0.16;0.04;0.04;0
Bassie;19/jun;Eliane;15:35;5;na;controle;12.73;12.54;12.7;12.66;0.010433333;3.78;3.78;3.72;3.76;0.0012;3.93;4.03;4.01;3.99;0.0028;w;k;r;r;w;w;r;r;r;r;r;r;r;r;r;k;k;k;k;r;r;r;r;r;r;0;5;17;3;0;0;25;0;0.2;0.68;0.12;0;0
Adriaan;19/jun;Eliane;15:35;5;voor;impact;12.6;12.61;12.66;12.62;0.001033333;3.9;3.99;3.93;3.94;0.0021;4.39;4.39;4.37;4.38;0.000133333;v;k;k;r;r;r;r;r;k;k;k;k;r;r;r;r;r;r;k;k;r;r;r;r;b;1;8;15;0;0;1;25;0.04;0.32;0.6;0;0;0.04
Adriaan;19/jun;Eliane;15:35;5;na;impact;12.6;12.61;12.66;12.62;0.001033333;3.9;3.99;3.93;3.94;0.0021;4.39;4.39;4.37;4.38;0.000133333;k;r;r;r;r;r;r;r;r;r;k;r;r;r;r;r;r;r;r;r;r;k;r;r;r;0;3;22;0;0;0;25;0;0.12;0.88;0;0;0
Lowie;19/jun;Celien;NA;5;voor;controle;12.39;12.59;12.8;12.59;0.042033333;3.6;3.61;3.65;3.62;0.0007;4.35;4.45;4.45;4.42;0.003333333;k;k;w;v;k;v;v;w;r;w;k;r;r;k;k;k;w;w;r;r;r;r;r;r;r;3;7;10;5;0;0;25;0.12;0.28;0.4;0.2;0;0
Lowie;19/jun;Celien;NA;5;na;controle;12.39;12.59;12.8;12.59;0.042033333;3.6;3.61;3.65;3.62;0.0007;4.35;4.45;4.45;4.42;0.003333333;v;w;w;w;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;1;1;20;3;0;0;25;0.04;0.04;0.8;0.12;0;0
Flor;19/jun;Celien;NA;5;voor;controle;13.78;13.47;13.78;13.68;0.032033333;4.21;4.15;4.1;4.15;0.003033333;4.23;4.1;4.32;4.22;0.012233333;k;w;v;r;r;k;r;r;k;k;r;k;w;r;r;r;r;r;r;r;r;w;r;r;r;1;5;16;3;0;0;25;0.04;0.2;0.64;0.12;0;0
Flor;19/jun;Celien;NA;5;na;controle;13.78;13.47;13.78;13.68;0.032033333;4.21;4.15;4.1;4.15;0.003033333;4.23;4.1;4.32;4.22;0.012233333;g;r;r;r;r;r;k;k;w;k;w;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;3;19;2;1;0;25;0;0.12;0.76;0.08;0.04;0
Michel;19/jun;Ward;16:06;4;voor;impact;13.06;12.79;12.88;12.91;0.0189;3.81;3.84;3.99;3.88;0.0093;3.99;4.16;4.13;4.09;0.008233333;v;k;k;w;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;1;3;20;1;0;0;25;0.04;0.12;0.8;0.04;0;0
Michel;19/jun;Ward;16:06;4;na;impact;13.06;12.79;12.88;12.91;0.0189;3.81;3.84;3.99;3.88;0.0093;3.99;4.16;4.13;4.09;0.008233333;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;1;24;0;0;0;25;0;0.04;0.96;0;0;0
Guido;19/jun;Ward;16:06;4;voor;controle;11.77;11.51;11.78;11.69;0.023433333;3.52;3.55;3.55;3.54;0.0003;4.3;4.68;4.26;4.41;0.053733333;v;r;r;r;r;r;r;v;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;2;0;23;0;0;0;25;0.08;0;0.92;0;0;0
Guido;19/jun;Ward;16:06;4;na;controle;11.77;11.51;11.78;11.69;0.023433333;3.52;3.55;3.55;3.54;0.0003;4.3;4.68;4.26;4.41;0.053733333;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;k;r;r;r;r;0;2;23;0;0;0;25;0;0.08;0.92;0;0;0
Balu;20/jun;Celien;11:23;3;voor;impact;12.63;12.47;12.34;12.48;0.0211;3.74;3.73;3.62;3.7;0.004433333;4.2;4.18;4.17;4.18;0.000233333;v;w;v;r;r;r;r;r;w;r;r;r;r;r;w;k;k;v;k;w;k;v;r;w;r;4;4;12;5;0;0;25;0.16;0.16;0.48;0.2;0;0
Balu;20/jun;Celien;11:23;3;na;impact;12.63;12.47;12.34;12.48;0.0211;3.74;3.73;3.62;3.7;0.004433333;4.2;4.18;4.17;4.18;0.000233333;k;k;r;r;r;r;r;r;r;r;r;r;r;w;r;r;r;r;r;r;r;r;k;r;r;0;3;21;1;0;0;25;0;0.12;0.84;0.04;0;0
Bagheera;20/jun;Celien;11:23;3;voor;controle;12.18;12.43;12.42;12.34;0.020033333;3.83;3.87;3.76;3.82;0.0031;3.78;3.75;3.83;3.79;0.001633333;k;r;v;r;r;r;r;k;k;k;v;v;k;k;k;k;k;k;k;w;k;k;v;r;r;4;13;7;1;0;0;25;0.16;0.52;0.28;0.04;0;0
Bagheera;20/jun;Celien;11:23;3;na;controle;12.18;12.43;12.42;12.34;0.020033333;3.83;3.87;3.76;3.82;0.0031;3.78;3.75;3.83;3.79;0.001633333;k;r;r;r;r;r;r;r;r;r;k;k;r;k;k;k;k;k;r;k;r;r;r;k;k;0;11;14;0;0;0;25;0;0.44;0.56;0;0;0
Wizzy;20/jun;Celien;10:38;4;voor;controle;12.74;12.53;13;12.76;0.055433333;3.92;3.78;3.78;3.83;0.006533333;4.22;3.98;4.02;4.07;0.016533333;k;r;v;r;v;v;k;r;r;k;k;k;k;r;r;r;r;r;k;r;r;r;r;r;v;4;7;14;0;0;0;25;0.16;0.28;0.56;0;0;0
Wizzy;20/jun;Celien;10:38;4;na;controle;12.74;12.53;13;12.76;0.055433333;3.92;3.78;3.78;3.83;0.006533333;4.22;3.98;4.02;4.07;0.016533333;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;w;r;r;r;r;r;r;r;k;k;0;3;21;1;0;0;25;0;0.12;0.84;0.04;0;0
Woppy;20/jun;Celien;10:38;4;voor;impact;13.1;13.06;12.85;13;0.018033333;4.01;4.19;4.05;4.08;0.008933333;4.48;4.31;4.31;4.37;0.009633333;v;k;v;k;w;w;w;v;v;k;r;r;r;r;r;r;r;r;w;w;r;k;r;w;r;4;4;11;6;0;0;25;0.16;0.16;0.44;0.24;0;0
Woppy;20/jun;Celien;10:38;4;na;impact;13.1;13.06;12.85;13;0.018033333;4.01;4.19;4.05;4.08;0.008933333;4.48;4.31;4.31;4.37;0.009633333;k;r;k;r;r;r;r;k;k;k;w;k;k;r;r;k;r;r;r;r;r;r;r;r;r;0;8;16;1;0;0;25;0;0.32;0.64;0.04;0;0
Stefano;20/jun;Celien;17:07;3;voor;controle;11.07;11.11;11.18;11.12;0.0031;2.67;2.9;2.79;2.79;0.013233333;3.42;3.54;3.54;3.5;0.0048;v;k;v;k;v;v;k;k;v;k;k;k;k;k;k;k;k;k;k;k;k;k;k;v;k;6;19;0;0;0;0;25;0.24;0.76;0;0;0;0
